City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,st. john's,47.5649,-52.7093,34.29,92,75,3.44,CA,2025-03-09 12:46:52
275,kolonia,50.9333,6.95,66.94,31,0,4.61,DE,2025-03-09 12:47:20
276,northam,51.0333,-4.2167,59.81,57,100,5.99,GB,2025-03-09 12:47:21
277,east london,-33.0153,27.9116,76.14,73,20,18.41,ZA,2025-03-09 12:44:56
278,aberdeen,57.1437,-2.0981,59.25,65,25,4.61,GB,2025-03-09 12:43:18
279,port alfred,-33.5906,26.891,73.18,84,52,7.0,ZA,2025-03-09 12:47:24
280,soio,-6.1349,12.3689,84.4,66,91,4.74,AO,2025-03-09 12:47:26
281,catia la mar,10.6038,-67.0303,80.49,83,20,3.44,VE,2025-03-09 12:47:27
282,majuro,7.0897,171.3803,82.36,78,100,12.66,MH,2025-03-09 12:47:28
283,afif,23.9065,42.9172,76.23,24,1,13.35,SA,2025-03-09 12:47:29
284,vernal,40.4555,-109.5287,29.66,74,0,3.44,US,2025-03-09 12:47:30
285,tyukhtet,56.5389,89.3011,10.2,95,98,3.74,RU,2025-03-09 12:47:31
286,afaahiti,-17.75,-149.2833,80.28,81,96,16.49,PF,2025-03-09 12:47:32
287,soledade,-28.8183,-52.5103,73.98,75,99,8.63,BR,2025-03-09 12:47:33
288,santiago,-33.4569,-70.6483,71.06,50,0,1.99,CL,2025-03-09 12:42:43
289,stulpicani,47.4667,25.7667,62.89,21,100,2.89,RO,2025-03-09 12:47:36
290,turan,16.0678,108.2208,71.58,88,75,5.75,VN,2025-03-09 12:47:37
291,batticaloa,7.7102,81.6924,78.76,72,50,7.67,LK,2025-03-09 12:47:38
292,urangan,-25.3,152.9,77.72,85,100,17.54,AU,2025-03-09 12:47:40
293,gisborne,-38.6533,178.0042,62.62,65,98,14.76,NZ,2025-03-09 12:47:41
294,licheng,23.2955,113.8284,70.3,64,8,3.83,CN,2025-03-09 12:47:42
295,zelenogorskiy,55.0333,87.0,22.39,95,100,4.18,RU,2025-03-09 12:47:45
296,kerikeri,-35.2268,173.9474,54.63,87,0,4.5,NZ,2025-03-09 12:47:46
297,mili,6.0815,171.735,81.21,78,22,23.58,MH,2025-03-09 12:47:47
298,villa canas,-34.0057,-61.6076,61.95,79,0,9.48,AR,2025-03-09 12:47:48
